ITEM NAME,CATEGORY NAME,SKU,HSN,UNIT NAME,ALERT QTY,BRAND NAME,LOT NUMBER,PRICE BEFORE TAX,,TAX VALUE,TAX TYPE,SALES PRICE,OPENING STOCK,CUSTOM BARCODE,SELLER POINTS,ITEM DESCIPTION,DISCOUNT TYPE,DISCOUNT,MRP
Dr.O Manuka Lotion 200 ml,1,2,,1,2,,,34.79999924,,15,Exclusive,58,0,5060176672192,0,,,0,
Dr.O  Olive Day Cream 50,1,2,,1,2,,,43.79999924,,15,Exclusive,73,0,5060176671058,0,,,0,
Dr.O  Olive Night Cream 50,1,2,,1,2,,,43.79999924,,15,Exclusive,73,0,5060176670570,0,,,0,
Dr.O  Olive Shampoo 265 ml,1,2,,1,2,,,27.60000038,,15,Exclusive,46,0,5060176673496,0,,,0,
Dr.O  Olive Lotion 200 ml,1,2,,1,2,,,34.79999924,,15,Exclusive,58,0,5060176673519,0,,,0,
Dr.O Pomeg-Anti -age Cream,1,2,,1,2,,,43.79999924,,15,Exclusive,73,0,5060176673717,0,,,0,
Dr.O Pomeg- Butter 200 ml,1,2,,1,2,,,43.20000076,,15,Exclusive,72,0,5060176673557,0,,,0,
Dr.O Pomeg- Deodorant 50ml,1,2,,1,2,,,20.96999931,,15,Exclusive,34.95000076,0,5060176672109,0,,,0,
Dr.O Pomeg- Eye Cream 15ml,1,2,,1,2,,,43.79999924,,15,Exclusive,73,0,5060176670396,0,,,0,
Dr.O Pomeg- Shampoo 265ml,1,2,,1,2,,,27.60000038,,15,Exclusive,46,0,5060176671416,0,,,0,
Dr.O Pomeg-Lotion 200ml,1,2,,1,2,,,34.79999924,,15,Exclusive,58,0,5060176672079,0,,,0,
Dr.O Pomeg-Toothpaste 100ml,1,2,,1,2,,,23.96999931,,15,Exclusive,39.95000076,0,5060176670938,0,,,0,
Dr.O Cellulite Cream 200ml,1,2,,1,2,,,43.79999924,,15,Exclusive,73,0,5060176670600,0,,,0,
Dr.O Day Cream 5 50ml,1,2,,1,2,,,43.79999924,,15,Exclusive,73,0,5060176670723,0,,,0,
Dr.O Lip Serum 10ml,1,2,,1,2,,,14.97000027,,15,Exclusive,24.95000076,0,5060176673250,0,,,0,
Dr.O Night Cream 50ml,1,2,,1,2,,,43.79999924,,15,Exclusive,73,0,5060176673151,0,,,0,
Dr.O Royal Jelly Shampoo 265ml,1,2,,1,2,,,27.60000038,,15,Exclusive,46,0,5060176673397,0,,,0,
